Timestamp,Namespace,Pod,Container,CPU (millicores),Memory (MB)
2024-11-23T18:38:58.032601,argocd,argocd-dex-server-5fcbfd4684-4ksmf,dex-server,0.032163,97.82421875
2024-11-23T18:38:58.032677,argocd,argocd-notifications-controller-5f75c4656d-l55ml,notifications-controller,0.103823,36.7265625
2024-11-23T18:38:58.032744,argocd,argocd-redis-7855f78d87-9vqnb,redis,0.918685,11.1953125
2024-11-23T18:38:58.032817,argocd,argocd-repo-server-767cbc7fdb-cdgf7,repo-server,0.796514,54.23828125
2024-11-23T18:38:58.032882,argocd,argocd-server-858f464b75-j92hs,server,0.242832,43.69921875
2024-11-23T18:39:13.146568,argocd,argocd-application-controller-0,application-controller,4.991683,152.015625
2024-11-23T18:39:13.147651,argocd,argocd-applicationset-controller-74947d8b5d-rbl48,applicationset-controller,0.24374,43.109375
2024-11-23T18:39:13.148035,argocd,argocd-dex-server-5fcbfd4684-4ksmf,dex-server,0.491201,97.82421875
2024-11-23T18:39:13.148262,argocd,argocd-notifications-controller-5f75c4656d-l55ml,notifications-controller,0.484576,36.7265625
2024-11-23T18:39:13.148475,argocd,argocd-redis-7855f78d87-9vqnb,redis,0.904972,10.9453125
2024-11-23T18:39:13.148665,argocd,argocd-repo-server-767cbc7fdb-cdgf7,repo-server,0.796514,54.23828125
2024-11-23T18:39:13.148841,argocd,argocd-server-858f464b75-j92hs,server,0.731868,43.703125
2024-11-23T18:39:28.223178,argocd,argocd-application-controller-0,application-controller,3.030123,152.015625
2024-11-23T18:39:28.224137,argocd,argocd-applicationset-controller-74947d8b5d-rbl48,applicationset-controller,0.24374,43.109375
2024-11-23T18:39:28.224483,argocd,argocd-dex-server-5fcbfd4684-4ksmf,dex-server,0.039454,97.82421875
2024-11-23T18:39:28.224732,argocd,argocd-notifications-controller-5f75c4656d-l55ml,notifications-controller,0.066402,36.7265625
2024-11-23T18:39:28.224966,argocd,argocd-redis-7855f78d87-9vqnb,redis,0.902906,10.9453125
2024-11-23T18:39:28.225175,argocd,argocd-repo-server-767cbc7fdb-cdgf7,repo-server,0.585294,54.234375
2024-11-23T18:39:28.225371,argocd,argocd-server-858f464b75-j92hs,server,0.372774,43.703125
2024-11-23T18:39:43.306374,argocd,argocd-application-controller-0,application-controller,3.006657,152.015625
2024-11-23T18:39:43.307216,argocd,argocd-applicationset-controller-74947d8b5d-rbl48,applicationset-controller,0.260437,43.109375
2024-11-23T18:39:43.307378,argocd,argocd-dex-server-5fcbfd4684-4ksmf,dex-server,0.038373,97.82421875
2024-11-23T18:39:43.307451,argocd,argocd-notifications-controller-5f75c4656d-l55ml,notifications-controller,0.095238,36.7265625
2024-11-23T18:39:43.307516,argocd,argocd-redis-7855f78d87-9vqnb,redis,0.917435,10.9453125
2024-11-23T18:39:43.307577,argocd,argocd-repo-server-767cbc7fdb-cdgf7,repo-server,0.773571,54.2421875
2024-11-23T18:39:43.307637,argocd,argocd-server-858f464b75-j92hs,server,0.315986,43.703125
2024-11-23T18:39:58.387344,argocd,argocd-application-controller-0,application-controller,3.006657,152.015625
2024-11-23T18:39:58.388219,argocd,argocd-applicationset-controller-74947d8b5d-rbl48,applicationset-controller,0.237517,43.109375
2024-11-23T18:39:58.388563,argocd,argocd-dex-server-5fcbfd4684-4ksmf,dex-server,0.050951,97.82421875
2024-11-23T18:39:58.388799,argocd,argocd-notifications-controller-5f75c4656d-l55ml,notifications-controller,0.096433,36.7265625
2024-11-23T18:39:58.389007,argocd,argocd-redis-7855f78d87-9vqnb,redis,0.924881,11.44140625
2024-11-23T18:39:58.389200,argocd,argocd-repo-server-767cbc7fdb-cdgf7,repo-server,0.578663,54.2421875
2024-11-23T18:39:58.389389,argocd,argocd-server-858f464b75-j92hs,server,0.315986,43.703125
2024-11-23T18:40:13.444897,argocd,argocd-application-controller-0,application-controller,3.192363,152.0234375
2024-11-23T18:40:13.445170,argocd,argocd-applicationset-controller-74947d8b5d-rbl48,applicationset-controller,0.326802,43.11328125
2024-11-23T18:40:13.445256,argocd,argocd-dex-server-5fcbfd4684-4ksmf,dex-server,0.052986,97.82421875
2024-11-23T18:40:13.445319,argocd,argocd-notifications-controller-5f75c4656d-l55ml,notifications-controller,0.067611,36.7265625
